Org Type,Beds,USNEWS Directory,City,State,Par Org,Organization,Pri. Domain,Full Org URL,YouTube Account,YouTube Date,YouTube URL ,TW 1st update,Twitter Account,Twitter URL,FaceBook URL,Blog,FourSquare,LinkedIn,Pinterest,Google+,Delicious,Flickr,Quantcast,Compete
H-Rehab,82,http://health.usnews.com/best-hospitals/good-shepherd-rehabilitation-network-6239015,Allentown,PA,none,Good Shepherd Rehabilitation Network,goodshepherdrehab.org,http://www.goodshepherdrehab.org/,GoodShepherdRehab,06/09/09,http://www.youtube.com/user/GoodShepherdRehab,11/06/2009,GSRN,http://twitter.com/#!/GSRN,http://www.facebook.com/pages/Good-Shepherd-Rehabilitation-Network/102708971933,none,https://foursquare.com/venue/6582032,http://www.linkedin.com/company/347280,,,,,,
H-GenMed&Surg,701,http://health.usnews.com/best-hospitals/lehigh-valley-hospital-6230013,Allentown,PA,Lehigh Valley Health Network,Lehigh Valley Hospital,lvh.org,http://www.lvh.org,LVHealthNetwork,11/05/08,http://www.youtube.com/user/LVHealthNetwork,13/02/2009,lvhn,http://twitter.com/lvhn,http://www.facebook.com/lvhealthnetwork,none,http://foursquare.com/venue/246488,http://www.linkedin.com/companies/lehigh-valley-hospital,,,,,,
H-GenMed&Surg,579,http://health.usnews.com/best-hospitals/st-lukes-hospital-6230049  ,Bethlehem,PA,none,St. Luke's Hospital and Health Network,mystlukesonline.org,http://www.mystlukesonline.org,none,,none,19/03/2009,mystlukes,http://twitter.com/mystlukes,none,none,none,http://www.linkedin.com/companies/st%2E-luke%27s-hospital,,,,,,
H-GenMed&Surg,319,http://health.usnews.com/best-hospitals/bryn-mawr-hospital-6230260,Bryn Mawr,PA,Main Line Health,Bryn Mawr Hospital,mainlinehealth.org,http://www.mainlinehealth.org/brynmawr,none,,none,,none,none,http://www.facebook.com/pages/Bryn-Mawr-Hospital/123346867694507,none,https://foursquare.com/venue/134465,http://www.linkedin.com/company/11899,,,,,,
H-Rehab,na,none,Bucks County,PA,none,Livengrin Foundation for Addiction Recovery,livengrin.org,http://www.livengrin.org/,none,,none,,none,none,http://www.facebook.com/pages/Livengrin-Foundation-for-Addiction-Recovery/147399153668,none,none,none,,,,,,
H-GenMed&Surg,126,http://health.usnews.com/best-hospitals/veterans-affairs-medical-center-6230280,Butler,PA,Department of Veterans Affairs,VA Butler Health Care,butler.va.gov,http://www.butler.va.gov/,none,,none,31/03/2010,VAButlerPA,http://twitter.com/VAButlerPA,http://www.facebook.com/VAButlerPA,none,none,none,,,,,,
Health System,NA,none,Chambersburg,PA,Summit Health,Summit Health,summithealth.org,www.summithealth.org,summithealth,07/02/09,http://www.youtube.com/summithealth,,none,none,http://www.facebook.com/summithealth,none,none,http://www.linkedin.com/companies/41452/Summit%20Health,,,,,,
H-GenMed&Surg,475,http://health.usnews.com/best-hospitals/veterans-affairs-medical-center-6230470,Coatesville,PA,Department of Veterans Affairs,Coatesville VA Medical Center,coatesville.va.gov,http://www.coatesville.va.gov/,none,,none,,none,none,http://www.facebook.com/CoatesvilleVAMC,none,https://foursquare.com/venue/4427730,none,,,,,,
H-GenMed&Surg,392,http://health.usnews.com/best-hospitals/geisinger-medical-center-6230550,Danville,PA,Geisinger Health System,Geisinger Medical Center,geisinger.org,http://www.geisinger.org,GeisingerHealth,01/21/09,http://www.youtube.com/user/GeisingerHealth,12/02/2009,GeisingerHealth,http://twitter.com/GeisingerHealth,http://www.facebook.com/cmngeisinger,none,http://foursquare.com/venue/776227,none,,,,,,
H-GenMed&Surg,306,http://health.usnews.com/best-hospitals/doylestown-hospital-6230590,Doylestown,PA,none,Doylestown Hospital,dh.org,http://www.dh.org/,none,,none,,none,none,http://www.facebook.com/pages/Doylestown-Hospital/50972431172,none,http://foursquare.com/venue/1093998,http://www.linkedin.com/companies/doylestown-hospital,,,,,,
H-GenMed&Surg,231,http://health.usnews.com/best-hospitals/pocono-medical-center-6230680 ,East Stroudsburg,PA,none,Pocono Medical Center,poconohealthsystem.org,http://www.poconohealthsystem.org/,none,,none,27/03/2009,PoconoMedCenter,http://twitter.com/PoconoMedCenter,none,none,http://foursquare.com/venue/2705952,http://www.linkedin.com/companies/pocono-medical-center,,,,,,
H-GenMed&Surg,701,http://health.usnews.com/best-hospitals/moss-rehab-einstein-at-elkins-park-6230715,Elkins Park,PA,Albert Einstein Healthcare,Moss Rehab,mossrehab.com,http://www.mossrehab.com,none,,none,09/12/2009,MossRehab,http://twitter.com/MossRehab,http://www.facebook.com/MossRehab,none,http://foursquare.com/venue/11139402,none,,,,,,
H-GenMed&Surg,340,http://health.usnews.com/best-hospitals/hamot-medical-center-6230760/,Erie,PA,none,Hamot Medical Center,hamot.org,http://www.hamot.org,none,,none,27/04/2009,UPMCHamot,http://twitter.com/#!/UPMCHamot,http://www.facebook.com/pages/UPMC-Hamot/202897613072376,none,http://foursquare.com/venue/2056691,http://www.linkedin.com/companies/hamot-medical-center,,,,,,
H-GenMed&Surg,na,none,Harrisburg,PA,PinnacleHealth,Community General Osteopathic,pinnaclehealth.org,http://www.pinnaclehealth.org/,none,,none,,none,none,http://www.facebook.com/pages/Community-General-Osteopathic/103213226422759,none,none,none,,,,,,
H-GenMed&Surg,na,none,Harrisburg,PA,Pinnale Health,Harrisburg Hospital,pinnaclehealth.org,http://www.pinnaclehealth.org/facilities-locations/harrisburg-hospital/,none,,none,,none,none,http://www.facebook.com/HarrisburgHospital,none,https://foursquare.com/venue/320462,none,,,,,,
Health System,678,http://health.usnews.com/best-hospitals/pinnaclehealth-system-6230039/,Harrisburg,PA,none,Pinnacle Health System ,pinnaclehealth.org,http://www.pinnaclehealth.org,pinnaclehealthsystem,06/10/10,http://www.youtube.com/pinnaclehealthsystem,16/03/2011,Pinnacle_Health,https://twitter.com/#!/Pinnacle_Health,http://www.facebook.com/PinnacleHealth.Proven,none,none,none,,,,,,
H-GenMed&Surg,na,none,Harrisburg,PA,PinnacleHealth,Polyclinic Hospital,pinnaclehealth.org,http://www.pinnaclehealth.org/Anonymous-Homepage.aspx?aspxerrorpath=/facilities-locations/polyclinic-campus.aspx,none,,none,,none,none,http://www.facebook.com/pages/Polyclinic-Hospital/121543974576316,none,none,none,,,,,,
H-GenMed&Surg,477,http://health.usnews.com/best-hospitals/penn-state-hershey-medical-ctr-6230705 ,Hershey,PA,none,Penn State Hershey Medical Center,pennstatehershey.org,http://www.pennstatehershey.org,pennstatehershey,07/10/08,http://www.youtube.com/pennstatehershey,30/08/2010,pennsthershey,http://twitter.com/#!/pennsthershey,http://www.facebook.com/pennsthershey,http://pennstatemedicine.org/,http://foursquare.com/venue/824679,none,,,,,,
